01G-QSS4:Curr1,02G-QSS3:Curr1,05G-QSS3:Curr1,07G-QSS2:Curr1,08G-QSS2:Curr1,09G-QSS1:Curr1,10G-QSS4:Curr1,11G-QSS3:Curr1,12G-QSS3:Curr1,14G-QSS2:Curr1,16G-QSS2:Curr1,17G-QSS2:Curr1,18G-QSS1:Curr1,objective
-7.081386,0.920232,7.166579,-5.619954,0.348033,-3.253841,-9.300596,-1.893874,2.825731,-3.383367,-0.144699,5.718833,6.431205,-1.301649
-7.836428,0.842253,5.993325,-4.375324,0.987481,-3.118392,-8.81322,-1.74308,2.439866,-2.19151,-1.013576,5.090965,6.553887,-1.384319
-8.727413,1.284988,4.164691,-2.849681,1.203644,-3.327088,-8.330482,-2.147421,1.868579,-0.262442,-1.903345,4.815947,7.102364,-1.503556
-8.669165,2.156255,3.536564,-2.853594,0.283142,-3.933833,-8.517568,-3.10121,1.710735,0.491236,-1.617001,5.618218,7.746111,-1.454037
-8.516672,4.437262,1.892108,-2.863839,-2.126764,-5.522314,-9.007365,-5.598259,1.297495,2.46439,-0.867343,7.718588,9.431463,-1.251107
-8.79941,0.208043,4.941098,-2.844844,2.341447,-2.577109,-8.099231,-0.968474,2.063684,-1.194039,-2.257286,3.824287,6.306649,-1.428808
-8.857658,-0.663225,5.569224,-2.840931,3.26195,-1.970363,-7.912145,-0.014686,2.221528,-1.947716,-2.54363,3.022017,5.662902,-1.379387
-8.584869,3.417165,2.627531,-2.859257,-1.049022,-4.811924,-8.788321,-4.481545,1.482302,1.581969,-1.202601,6.779274,8.677751,-1.351694
-8.978629,1.085515,3.724058,-3.705866,1.232158,-3.451031,-8.061642,-1.787528,2.218325,0.271067,-1.398604,4.66702,7.109089,-1.423855
-9.387407,0.728325,3.035924,-5.091049,1.314676,-3.627594,-7.619257,-1.167512,2.790464,1.104515,-0.593232,4.394342,7.094527,-1.434815
-10.457602,-0.206809,1.234368,-8.717504,1.530712,-4.089843,-6.461076,0.455712,4.288345,3.286511,1.515259,3.680462,7.056404,-1.284287
-8.473351,1.527026,4.574637,-1.993687,1.13016,-3.232786,-8.608461,-2.553911,1.511122,-0.759131,-2.394098,5.004069,7.127089,-1.410345
-8.064573,1.884215,5.262771,-0.608504,1.047642,-3.056223,-9.050847,-3.173927,0.938982,-1.592579,-3.199469,5.276747,7.141651,-1.40608
-6.994378,2.81935,7.064327,3.017951,0.831606,-2.593973,-10.209028,-4.797151,-0.558899,-3.774574,-5.30796,5.990627,7.179774,-1.173194
-7.687023,2.214118,5.898335,0.67086,0.971427,-2.893147,-9.459438,-3.746578,0.41055,-2.362357,-3.943316,5.528594,7.1551,-1.321898
-9.764957,0.398423,2.40036,-6.370413,1.390891,-3.790669,-7.210666,-0.59486,3.318896,1.874294,0.150615,4.142495,7.081078,-1.395748
-8.913377,1.396627,4.159004,-3.664578,1.097764,-3.658773,-8.37457,-1.759841,2.9781,0.710105,-2.121307,4.677789,6.649191,-1.442402
